Respondent,YearsCodingProf
54525,3-5 years
54526,3-5 years
54527,3-5 years
54528,0-2 years
54529,6-8 years
54530,3-5 years
54531,3-5 years
54532,NA
54534,6-8 years
54535,NA
54537,NA
54539,3-5 years
54541,3-5 years
54543,3-5 years
54544,NA
54547,3-5 years
54548,3-5 years
54551,18-20 years
54552,6-8 years
54553,0-2 years
54554,21-23 years
54555,0-2 years
54559,0-2 years
54560,NA
54561,0-2 years
54563,0-2 years
54564,18-20 years
54565,3-5 years
54566,0-2 years
54568,3-5 years
54569,0-2 years
54570,15-17 years
54573,18-20 years
54574,27-29 years
54575,0-2 years
54576,18-20 years
54578,3-5 years
54580,NA
54582,0-2 years
54583,0-2 years
54584,NA
54585,0-2 years
54586,0-2 years
54587,0-2 years
54588,9-11 years
54589,6-8 years
54590,0-2 years
54592,0-2 years
54593,18-20 years
54594,3-5 years
54595,0-2 years
54596,21-23 years
54597,3-5 years
54598,NA
54600,NA
54602,3-5 years
54603,0-2 years
54604,NA
54605,12-14 years
54607,0-2 years
54609,0-2 years
54610,18-20 years
54611,6-8 years
54612,NA
54613,3-5 years
54614,0-2 years
54616,0-2 years
54617,NA
54618,3-5 years
54619,0-2 years
54620,3-5 years
54621,3-5 years
54622,0-2 years
54623,15-17 years
54624,6-8 years
54625,3-5 years
54626,18-20 years
54630,3-5 years
54631,9-11 years
54632,3-5 years
54633,21-23 years
54634,3-5 years
54635,9-11 years
54636,6-8 years
54638,0-2 years
54639,NA
54643,9-11 years
54644,12-14 years
54646,18-20 years
54647,3-5 years
54648,0-2 years
54649,0-2 years
54650,NA
54651,3-5 years
54652,12-14 years
54653,3-5 years
54654,9-11 years
54655,3-5 years
54658,0-2 years
54659,0-2 years
54660,3-5 years
54661,9-11 years
54662,3-5 years
54663,6-8 years
54664,0-2 years
54666,15-17 years
54667,15-17 years
54669,0-2 years
54672,6-8 years
54673,3-5 years
54675,NA
54676,3-5 years
54679,15-17 years
54680,0-2 years
54682,3-5 years
54684,9-11 years
54685,21-23 years
54686,0-2 years
54688,0-2 years
54689,0-2 years
54690,9-11 years
54691,6-8 years
54692,30 or more years
54694,27-29 years
54695,9-11 years
54696,6-8 years
54699,3-5 years
54700,0-2 years
54701,0-2 years
54702,3-5 years
54703,0-2 years
54706,3-5 years
54708,6-8 years
54709,15-17 years
54712,3-5 years
54716,0-2 years
54717,6-8 years
54718,0-2 years
54719,NA
54721,0-2 years
54725,15-17 years
54726,0-2 years
54727,6-8 years
54728,NA
54729,0-2 years
54731,6-8 years
54732,0-2 years
54733,9-11 years
54736,15-17 years
54738,12-14 years
54739,6-8 years
54740,15-17 years
54741,NA
54742,0-2 years
54743,3-5 years
54744,6-8 years
54745,3-5 years
54748,12-14 years
54749,3-5 years
54751,0-2 years
54752,0-2 years
54753,3-5 years
54754,18-20 years
54755,18-20 years
54757,3-5 years
54759,6-8 years
54761,NA
54764,0-2 years
54766,3-5 years
54768,3-5 years
54769,3-5 years
54770,9-11 years
54772,3-5 years
54773,3-5 years
54774,NA
54775,3-5 years
54776,0-2 years
54777,NA
54779,NA
54781,12-14 years
54782,3-5 years
54783,NA
54784,NA
54785,3-5 years
54786,0-2 years
54787,12-14 years
54788,18-20 years
54789,15-17 years
54790,0-2 years
54792,6-8 years
54793,NA
54794,6-8 years
54795,0-2 years
54796,15-17 years
54797,9-11 years
54798,9-11 years
54799,0-2 years
54800,0-2 years
54801,12-14 years
54802,6-8 years
54803,6-8 years
54805,18-20 years
54806,9-11 years
54807,3-5 years
54808,3-5 years
54809,3-5 years
54810,9-11 years
54811,12-14 years
54812,3-5 years
54813,6-8 years
54814,0-2 years
54815,3-5 years
54816,0-2 years
54817,0-2 years
54818,3-5 years
54819,6-8 years
54820,3-5 years
54821,3-5 years
54822,6-8 years
54824,3-5 years
54825,0-2 years
54827,3-5 years
54830,0-2 years
54831,0-2 years
54832,15-17 years
54833,3-5 years
54834,0-2 years
54835,3-5 years
54836,0-2 years
54837,0-2 years
54838,NA
54840,3-5 years
54842,0-2 years
54843,12-14 years
54844,30 or more years
54845,12-14 years
54846,18-20 years
54847,6-8 years
54849,9-11 years
54852,3-5 years
54853,6-8 years
54854,3-5 years
54855,3-5 years
54856,0-2 years
54857,0-2 years
54859,30 or more years
54860,3-5 years
54861,9-11 years
54862,6-8 years
54864,0-2 years
54865,NA
54866,9-11 years
54867,6-8 years
54868,3-5 years
54869,18-20 years
54870,0-2 years
54871,15-17 years
54873,30 or more years
54874,6-8 years
54876,9-11 years
54877,NA
54878,9-11 years
54880,9-11 years
54881,6-8 years
54882,9-11 years
54885,0-2 years
54886,NA
54887,0-2 years
54888,6-8 years
54889,18-20 years
54890,3-5 years
54894,NA
54895,NA
54896,NA
54898,6-8 years
54901,18-20 years
54903,3-5 years
54904,3-5 years
54905,NA
54906,3-5 years
54909,0-2 years
54910,NA
54911,NA
54912,3-5 years
54913,3-5 years
54914,3-5 years
54915,NA
54916,18-20 years
54917,0-2 years
54919,0-2 years
54920,0-2 years
54921,9-11 years
54922,0-2 years
54923,3-5 years
54925,3-5 years
54926,3-5 years
54927,6-8 years
54928,3-5 years
54930,0-2 years
54933,12-14 years
54934,3-5 years
54936,0-2 years
54937,0-2 years
54939,3-5 years
54941,3-5 years
54944,9-11 years
54945,18-20 years
54947,0-2 years
54949,3-5 years
54950,3-5 years
54951,18-20 years
54952,0-2 years
54953,0-2 years
54954,3-5 years
54955,6-8 years
54956,NA
54957,3-5 years
54958,3-5 years
54961,0-2 years
54965,0-2 years
54968,3-5 years
54970,0-2 years
54971,3-5 years
54972,6-8 years
54973,0-2 years
54974,9-11 years
54976,18-20 years
54977,0-2 years
54978,NA
54979,9-11 years
54980,18-20 years
54982,3-5 years
54983,0-2 years
54984,0-2 years
54985,15-17 years
54987,18-20 years
54988,6-8 years
54989,15-17 years
54990,0-2 years
54991,3-5 years
54992,6-8 years
54993,NA
54994,3-5 years
54996,3-5 years
54997,NA
54999,15-17 years
55000,9-11 years
55001,0-2 years
55002,9-11 years
55003,18-20 years
55005,12-14 years
55006,3-5 years
55007,NA
55008,3-5 years
55009,3-5 years
55010,0-2 years
55011,0-2 years
55012,0-2 years
55013,3-5 years
55015,3-5 years
55016,6-8 years
55018,24-26 years
55019,9-11 years
55020,0-2 years
55021,15-17 years
55022,3-5 years
55023,6-8 years
55024,6-8 years
55026,0-2 years
55027,NA
55028,3-5 years
55029,3-5 years
55030,NA
55031,6-8 years
55032,15-17 years
55033,15-17 years
55035,6-8 years
55037,6-8 years
55038,3-5 years
55039,0-2 years
55041,9-11 years
55043,3-5 years
55044,0-2 years
55045,NA
55047,6-8 years
55048,3-5 years
55049,3-5 years
55050,0-2 years
55051,NA
55053,21-23 years
55055,NA
55058,18-20 years
55059,9-11 years
55060,0-2 years
55061,3-5 years
55062,9-11 years
55063,3-5 years
55064,3-5 years
55065,18-20 years
55068,0-2 years
55072,3-5 years
55073,0-2 years
55074,6-8 years
55076,3-5 years
55077,NA
55078,NA
55079,6-8 years
55081,15-17 years
55082,0-2 years
55085,9-11 years
55086,6-8 years
55087,0-2 years
55088,15-17 years
55089,3-5 years
55090,6-8 years
55095,3-5 years
55097,12-14 years
55098,18-20 years
55101,3-5 years
55102,3-5 years
55103,3-5 years
55107,0-2 years
55110,NA
55112,0-2 years
55114,0-2 years
55115,3-5 years
55116,NA
55117,21-23 years
55119,3-5 years
55120,3-5 years
55122,6-8 years
55123,0-2 years
55124,3-5 years
55125,0-2 years
55126,9-11 years
55127,6-8 years
55128,6-8 years
55129,0-2 years
55130,3-5 years
55134,3-5 years
55135,0-2 years
55136,6-8 years
55137,0-2 years
55138,NA
55139,0-2 years
55140,3-5 years
55141,18-20 years
55144,6-8 years
55146,3-5 years
55147,0-2 years
55148,9-11 years
55151,3-5 years
55152,9-11 years
55153,3-5 years
55154,9-11 years
55155,15-17 years
55156,3-5 years
55161,NA
55162,NA
55166,9-11 years
55168,12-14 years
55172,NA
55173,0-2 years
55174,6-8 years
55175,12-14 years
55177,3-5 years
55178,6-8 years
55179,27-29 years
55180,0-2 years
55181,NA
55182,NA
55184,0-2 years
55185,NA
55187,12-14 years
55190,3-5 years
55191,0-2 years
55194,9-11 years
55195,12-14 years
55196,NA
55197,NA
55199,3-5 years
55200,0-2 years
55202,9-11 years
55203,6-8 years
55204,9-11 years
55205,3-5 years
55206,21-23 years
55207,3-5 years
55208,3-5 years
55212,6-8 years
55214,3-5 years
55215,3-5 years
55216,NA
55217,24-26 years
55218,NA
55219,15-17 years
55220,12-14 years
55223,0-2 years
55224,3-5 years
55226,30 or more years
55227,3-5 years
55228,0-2 years
55229,0-2 years
55230,0-2 years
55231,3-5 years
55232,3-5 years
55233,3-5 years
55234,6-8 years
55236,0-2 years
55239,NA
55240,18-20 years
55243,NA
55245,3-5 years
55246,9-11 years
55247,6-8 years
55248,0-2 years
55251,0-2 years
55253,3-5 years
55254,6-8 years
55257,3-5 years
55260,3-5 years
55262,NA
55264,9-11 years
55265,0-2 years
55267,9-11 years
55269,NA
55270,21-23 years
55271,3-5 years
55272,6-8 years
55274,0-2 years
55276,3-5 years
55277,3-5 years
55278,0-2 years
55280,18-20 years
55281,0-2 years
55282,6-8 years
55283,NA
55284,9-11 years
55285,3-5 years
55286,3-5 years
55287,15-17 years
55288,NA
55289,18-20 years
55291,0-2 years
55292,3-5 years
55297,0-2 years
55299,3-5 years
55300,24-26 years
55301,3-5 years
55302,NA
55303,0-2 years
55304,0-2 years
55306,0-2 years
55308,NA
55309,6-8 years
55310,0-2 years
55312,3-5 years
55313,NA
55314,NA
55315,6-8 years
55316,0-2 years
55317,0-2 years
55320,NA
55321,0-2 years
55322,6-8 years
55323,6-8 years
55324,9-11 years
55325,0-2 years
55326,0-2 years
55327,NA
55328,15-17 years
55329,3-5 years
55331,6-8 years
55332,6-8 years
55333,18-20 years
55334,6-8 years
55335,3-5 years
55336,3-5 years
55341,9-11 years
55342,6-8 years
55343,6-8 years
55344,6-8 years
55345,3-5 years
55348,3-5 years
55350,NA
55352,3-5 years
55353,0-2 years
55357,9-11 years
55359,6-8 years
55360,6-8 years
55361,6-8 years
55362,6-8 years
55364,0-2 years
55365,3-5 years
55366,3-5 years
55367,3-5 years
55368,6-8 years
55369,NA
55371,6-8 years
55372,0-2 years
55373,0-2 years
55374,6-8 years
55375,3-5 years
55376,6-8 years
55377,0-2 years
55378,9-11 years
55379,12-14 years
55380,3-5 years
55382,21-23 years
55383,3-5 years
55385,0-2 years
55388,3-5 years
55389,12-14 years
55390,3-5 years
55392,6-8 years
55394,15-17 years
55395,21-23 years
55396,0-2 years
55398,9-11 years
55399,15-17 years
55400,6-8 years
55401,NA
55404,0-2 years
55406,9-11 years
55408,NA
55410,0-2 years
55415,6-8 years
55417,6-8 years
55418,3-5 years
55419,27-29 years
55421,18-20 years
55423,NA
55424,18-20 years
55425,3-5 years
55426,6-8 years
55427,9-11 years
55429,12-14 years
55433,6-8 years
55434,9-11 years
55435,NA
55436,30 or more years
55439,0-2 years
55440,18-20 years
55441,0-2 years
55442,3-5 years
55444,0-2 years
55445,3-5 years
55447,NA
55449,3-5 years
55451,0-2 years
55452,NA
55453,0-2 years
55455,0-2 years
55457,3-5 years
55458,6-8 years
55459,0-2 years
55460,3-5 years
55461,3-5 years
55463,NA
55464,6-8 years
55465,0-2 years
55466,9-11 years
55467,3-5 years
55468,9-11 years
55469,6-8 years
55472,3-5 years
55473,3-5 years
55475,NA
55476,0-2 years
55477,9-11 years
55478,0-2 years
55482,3-5 years
55484,3-5 years
55485,3-5 years
55487,NA
55490,6-8 years
55491,0-2 years
55493,0-2 years
55496,9-11 years
55497,NA
55498,0-2 years
55500,15-17 years
55504,3-5 years
55505,NA
55506,3-5 years
55507,3-5 years
55508,12-14 years
55509,3-5 years
55511,3-5 years
55512,3-5 years
55514,6-8 years
55516,6-8 years
55518,6-8 years
55519,3-5 years
55520,NA
55522,6-8 years
55524,12-14 years
55526,NA
55527,3-5 years
55529,6-8 years
55530,3-5 years
55532,6-8 years
55533,18-20 years
55534,3-5 years
55535,12-14 years
55537,0-2 years
55539,0-2 years
55540,15-17 years
55541,3-5 years
55542,9-11 years
55545,6-8 years
55547,0-2 years
55548,0-2 years
55549,3-5 years
55551,0-2 years
55552,9-11 years
55553,3-5 years
55556,0-2 years
55557,0-2 years
55558,0-2 years
55560,3-5 years
55561,0-2 years
55562,9-11 years
55563,3-5 years
55564,12-14 years
55566,3-5 years
55567,3-5 years
55570,0-2 years
55571,27-29 years
55572,3-5 years
55574,12-14 years
55575,6-8 years
55576,3-5 years
55578,NA
55579,0-2 years
55580,3-5 years
55581,0-2 years
55582,9-11 years
55584,3-5 years
55585,3-5 years
55587,0-2 years
55588,0-2 years
55589,9-11 years
55590,0-2 years
55591,6-8 years
55592,27-29 years
55593,12-14 years
55594,12-14 years
55595,3-5 years
55596,0-2 years
55597,3-5 years
55598,3-5 years
55599,3-5 years
55602,0-2 years
55603,3-5 years
55606,NA
55607,3-5 years
55608,6-8 years
55609,12-14 years
55611,30 or more years
55612,0-2 years
55613,15-17 years
55614,18-20 years
55615,0-2 years
55616,6-8 years
55617,3-5 years
55618,0-2 years
55619,3-5 years
55620,0-2 years
55621,0-2 years
55622,NA
55623,3-5 years
55625,3-5 years
55626,3-5 years
55627,0-2 years
55628,NA
55629,NA
55630,6-8 years
55632,0-2 years
55633,3-5 years
55634,3-5 years
55636,0-2 years
55637,NA
55641,3-5 years
55642,15-17 years
55644,3-5 years
55645,NA
55646,9-11 years
55648,3-5 years
55650,NA
55651,6-8 years
55653,6-8 years
55654,6-8 years
55655,NA
55658,3-5 years
55659,6-8 years
55660,0-2 years
55661,21-23 years
55662,18-20 years
55663,3-5 years
55664,3-5 years
55665,0-2 years
55667,6-8 years
55668,3-5 years
55669,3-5 years
55673,NA
55674,3-5 years
55675,3-5 years
55676,3-5 years
55677,0-2 years
55679,0-2 years
55680,NA
55681,6-8 years
55683,NA
55684,3-5 years
55685,0-2 years
55686,6-8 years
55687,0-2 years
55688,6-8 years
55691,0-2 years
55692,3-5 years
55693,3-5 years
55694,24-26 years
55696,6-8 years
55697,0-2 years
55699,3-5 years
55702,0-2 years
55705,NA
55709,3-5 years
55710,18-20 years
55711,3-5 years
55712,6-8 years
55713,NA
55714,3-5 years
55715,6-8 years
55716,0-2 years
55718,0-2 years
55719,NA
55720,NA
55721,NA
55723,0-2 years
55724,6-8 years
55725,0-2 years
55727,0-2 years
55728,3-5 years
55730,9-11 years
55732,12-14 years
55734,0-2 years
55735,3-5 years
55736,24-26 years
55737,NA
55738,NA
55740,NA
55741,0-2 years
55742,NA
55743,0-2 years
55744,21-23 years
55745,6-8 years
55747,6-8 years
55748,12-14 years
55750,12-14 years
55751,0-2 years
55753,9-11 years
55754,NA
55756,0-2 years
55759,3-5 years
55760,3-5 years
55762,0-2 years
55765,NA
55766,3-5 years
55767,NA
55769,0-2 years
55770,9-11 years
55771,0-2 years
55772,3-5 years
55773,NA
55774,0-2 years
55778,0-2 years
55779,18-20 years
55786,NA
55787,3-5 years
55788,30 or more years
55789,3-5 years
55790,NA
55791,3-5 years
55794,27-29 years
55795,6-8 years
55796,6-8 years
55797,0-2 years
55799,0-2 years
55800,3-5 years
55801,24-26 years
55802,9-11 years
55803,0-2 years
55806,0-2 years
55807,12-14 years
55808,9-11 years
55809,6-8 years
55810,NA
55811,0-2 years
55812,3-5 years
55814,6-8 years
55817,3-5 years
55818,9-11 years
55821,3-5 years
55822,0-2 years
55824,6-8 years
55825,0-2 years
55826,0-2 years
55827,0-2 years
55828,3-5 years
55830,12-14 years
55836,0-2 years
55839,0-2 years
55840,0-2 years
55841,12-14 years
55842,6-8 years
55843,6-8 years
55844,3-5 years
55845,12-14 years
55846,0-2 years
55847,3-5 years
55848,NA
55849,3-5 years
55850,0-2 years
55851,6-8 years
55852,3-5 years
55853,9-11 years
55855,0-2 years
55857,6-8 years
55858,3-5 years
55859,9-11 years
55860,0-2 years
55861,9-11 years
55863,6-8 years
55864,0-2 years
55865,NA
55866,0-2 years
55869,3-5 years
55871,3-5 years
55872,27-29 years
55873,0-2 years
55875,6-8 years
55878,18-20 years
55882,NA
55883,6-8 years
55886,0-2 years
55887,6-8 years
55888,9-11 years
55890,NA
55892,12-14 years
55893,6-8 years
55894,3-5 years
55895,0-2 years
55896,9-11 years
55899,3-5 years
55900,3-5 years
55902,3-5 years
55903,0-2 years
55906,9-11 years
55909,3-5 years
55910,6-8 years
55911,NA
55912,3-5 years
55913,3-5 years
55916,9-11 years
55917,0-2 years
55918,NA
55919,0-2 years
55920,6-8 years
55921,0-2 years
55922,0-2 years
55923,12-14 years
55924,3-5 years
55925,3-5 years
55926,3-5 years
55927,6-8 years
55928,3-5 years
55931,3-5 years
55933,3-5 years
55934,6-8 years
55935,0-2 years
55936,0-2 years
55937,12-14 years
55938,0-2 years
55939,NA
55940,3-5 years
55941,6-8 years
55942,NA
55945,3-5 years
55946,3-5 years
55947,3-5 years
55948,27-29 years
55950,3-5 years
55951,3-5 years
55952,6-8 years
55953,0-2 years
55954,3-5 years
55955,18-20 years
55956,3-5 years
55957,NA
55958,3-5 years
55959,0-2 years
55960,3-5 years
55962,NA
55963,3-5 years
55965,6-8 years
55966,NA
55969,NA
55970,3-5 years
55971,9-11 years
55972,0-2 years
55973,3-5 years
55976,3-5 years
55979,0-2 years
55981,NA
55982,0-2 years
55983,12-14 years
55984,3-5 years
55985,6-8 years
55987,0-2 years
55988,3-5 years
55989,0-2 years
55993,NA
55994,0-2 years
55996,6-8 years
55997,6-8 years
56001,0-2 years
56002,NA
56003,3-5 years
56004,6-8 years
56006,6-8 years
56008,9-11 years
56010,3-5 years
56011,18-20 years
56012,0-2 years
56014,9-11 years
56015,6-8 years
56016,0-2 years
56018,6-8 years
56020,3-5 years
56022,0-2 years
56023,6-8 years
56024,9-11 years
56026,6-8 years
56027,9-11 years
56028,12-14 years
56029,0-2 years
56031,3-5 years
56032,3-5 years
56033,18-20 years
56037,0-2 years
56038,9-11 years
56040,0-2 years
56044,6-8 years
56045,9-11 years
56047,0-2 years
56048,NA
56049,9-11 years
56050,0-2 years
56051,12-14 years
56052,18-20 years
56054,NA
56055,27-29 years
56056,18-20 years
56057,NA
56058,30 or more years
56059,9-11 years
56061,0-2 years
56062,NA
56063,9-11 years
56065,NA
56066,3-5 years
56068,0-2 years
56069,NA
56070,9-11 years
56071,3-5 years
56072,NA
56073,6-8 years
56074,0-2 years
56075,NA
56076,3-5 years
56077,18-20 years
56083,3-5 years
56084,12-14 years
56088,9-11 years
56089,0-2 years
56093,3-5 years
56095,3-5 years
56097,6-8 years
56098,0-2 years
56099,NA
56100,3-5 years
56101,3-5 years
56102,6-8 years
56103,6-8 years
56104,0-2 years
56105,6-8 years
56106,3-5 years
56107,3-5 years
56109,3-5 years
56113,30 or more years
56115,0-2 years
56116,6-8 years
56118,NA
56119,3-5 years
56120,12-14 years
56121,9-11 years
56122,3-5 years
56123,0-2 years
56124,3-5 years
56125,3-5 years
56126,15-17 years
56128,9-11 years
56129,NA
56130,6-8 years
56131,NA
56132,NA
56133,9-11 years
56134,0-2 years
56136,18-20 years
56137,NA
56138,3-5 years
56139,0-2 years
56141,9-11 years
56142,0-2 years
56144,6-8 years
56145,3-5 years
56147,6-8 years
56148,0-2 years
56150,NA
56152,12-14 years
56154,15-17 years
56157,0-2 years
56162,NA
56163,0-2 years
56164,3-5 years
56166,9-11 years
56170,12-14 years
56171,0-2 years
56172,6-8 years
56173,6-8 years
56175,9-11 years
56176,3-5 years
56177,0-2 years
56180,3-5 years
56181,3-5 years
56182,0-2 years
56183,6-8 years
56184,30 or more years
56185,6-8 years
56188,3-5 years
56189,0-2 years
56192,6-8 years
56195,NA
56196,NA
56197,3-5 years
56198,3-5 years
56199,9-11 years
56200,0-2 years
56201,0-2 years
56204,3-5 years
56205,9-11 years
56206,3-5 years
56207,0-2 years
56208,3-5 years
56212,18-20 years
56213,NA
56214,6-8 years
56215,6-8 years
56218,9-11 years
56219,30 or more years
56220,9-11 years
56222,3-5 years
56223,3-5 years
56225,NA
56226,21-23 years
56227,6-8 years
56228,0-2 years
56231,NA
56233,9-11 years
56234,0-2 years
56235,3-5 years
56236,6-8 years
56237,3-5 years
56238,3-5 years
56239,6-8 years
56240,6-8 years
56241,0-2 years
56243,0-2 years
56244,3-5 years
56245,0-2 years
56246,12-14 years
56247,3-5 years
56249,3-5 years
56250,3-5 years
56251,9-11 years
56253,NA
56256,3-5 years
56259,3-5 years
56260,12-14 years
56261,3-5 years
56262,NA
56263,3-5 years
56264,3-5 years
56265,15-17 years
56267,12-14 years
56268,3-5 years
56269,3-5 years
56272,6-8 years
56273,6-8 years
56274,3-5 years
56276,0-2 years
56278,NA
56279,3-5 years
56281,15-17 years
56282,24-26 years
56284,0-2 years
56285,0-2 years
56287,9-11 years
56289,3-5 years
56291,0-2 years
56292,NA
56293,NA
56294,9-11 years
56296,3-5 years
56298,0-2 years
56300,9-11 years
56301,NA
56303,9-11 years
56304,3-5 years
56305,3-5 years
56306,0-2 years
56307,6-8 years
56308,3-5 years
56309,12-14 years
56312,NA
56313,12-14 years
56315,NA
56316,NA
56317,0-2 years
56318,NA
56320,3-5 years
56321,NA
56323,30 or more years
56325,NA
56327,3-5 years
56330,3-5 years
56332,18-20 years
56333,9-11 years
56334,3-5 years
56336,0-2 years
56338,0-2 years
56339,3-5 years
56341,12-14 years
56342,9-11 years
56343,3-5 years
56344,3-5 years
56346,6-8 years
56347,3-5 years
56348,3-5 years
56350,9-11 years
56351,6-8 years
56352,3-5 years
56353,NA
56354,0-2 years
56356,0-2 years
56358,3-5 years
56360,NA
56361,9-11 years
56362,12-14 years
56363,15-17 years
56366,0-2 years
56369,3-5 years
56370,3-5 years
56372,21-23 years
56373,12-14 years
56374,9-11 years
56375,0-2 years
56377,3-5 years
56378,0-2 years
56379,3-5 years
56380,3-5 years
56381,6-8 years
56382,6-8 years
56384,6-8 years
56386,0-2 years
56387,0-2 years
56388,NA
56389,3-5 years
56391,30 or more years
56393,0-2 years
56397,3-5 years
56398,6-8 years
56399,NA
56400,27-29 years
56401,3-5 years
56402,3-5 years
56404,27-29 years
56405,3-5 years
56407,9-11 years
56408,9-11 years
56409,0-2 years
56410,18-20 years
56411,3-5 years
56413,6-8 years
56414,3-5 years
56416,21-23 years
56417,18-20 years
56418,3-5 years
56419,6-8 years
56420,0-2 years
56421,12-14 years
56423,9-11 years
56424,0-2 years
56425,NA
56426,3-5 years
56429,NA
56430,24-26 years
56431,3-5 years
56432,15-17 years
56433,0-2 years
56434,3-5 years
56435,0-2 years
56436,6-8 years
56437,3-5 years
56438,0-2 years
56439,9-11 years
56441,6-8 years
56442,0-2 years
56443,0-2 years
56444,9-11 years
56445,0-2 years
56446,3-5 years
56449,3-5 years
56450,18-20 years
56453,9-11 years
56454,6-8 years
56455,0-2 years
56456,0-2 years
56458,9-11 years
56460,NA
56462,3-5 years
56463,6-8 years
56464,3-5 years
56468,0-2 years
56469,9-11 years
56472,6-8 years
56473,0-2 years
56474,3-5 years
56476,0-2 years
56477,3-5 years
56478,12-14 years
56480,6-8 years
56481,3-5 years
56483,3-5 years
56484,0-2 years
56485,3-5 years
56487,NA
56488,3-5 years
56489,0-2 years
56490,3-5 years
56491,0-2 years
56492,3-5 years
56494,3-5 years
56495,3-5 years
56496,30 or more years
56497,NA
56498,6-8 years
56499,0-2 years
56500,3-5 years
56501,9-11 years
56502,NA
56503,3-5 years
56505,0-2 years
56506,NA
56507,3-5 years
56509,0-2 years
56510,0-2 years
56513,3-5 years
56514,0-2 years
56515,6-8 years
56521,NA
56523,3-5 years
56524,NA
56525,15-17 years
56526,3-5 years
56528,NA
56529,12-14 years
56531,6-8 years
56532,15-17 years
56534,3-5 years
56535,0-2 years
56536,3-5 years
56537,NA
56538,3-5 years
56539,3-5 years
56540,3-5 years
56541,0-2 years
56542,3-5 years
56543,15-17 years
56546,NA
56547,0-2 years
56548,NA
56549,18-20 years
56551,6-8 years
56552,9-11 years
56555,0-2 years
56556,0-2 years
56557,6-8 years
56561,3-5 years
56563,3-5 years
56564,0-2 years
56565,3-5 years
56566,3-5 years
56568,3-5 years
56569,12-14 years
56570,0-2 years
56571,0-2 years
56575,6-8 years
56576,NA
56578,9-11 years
56580,6-8 years
56581,0-2 years
56582,0-2 years
56583,18-20 years
56584,0-2 years
56585,6-8 years
56586,0-2 years
56588,NA
56589,3-5 years
56591,3-5 years
56592,0-2 years
56593,6-8 years
56595,3-5 years
56596,3-5 years
56597,6-8 years
56598,NA
56601,0-2 years
56602,9-11 years
56605,3-5 years
56606,24-26 years
56608,9-11 years
56609,NA
56610,6-8 years
56611,9-11 years
56612,0-2 years
56613,NA
56614,6-8 years
56617,3-5 years
56625,0-2 years
56626,3-5 years
56627,3-5 years
56628,6-8 years
56630,3-5 years
56631,NA
56633,3-5 years
56634,NA
56635,3-5 years
56636,NA
56637,9-11 years
56638,12-14 years
56639,9-11 years
56640,3-5 years
56641,3-5 years
56642,6-8 years
56643,0-2 years
56644,0-2 years
56645,6-8 years
56648,3-5 years
56651,3-5 years
56652,9-11 years
56653,3-5 years
56654,0-2 years
56655,NA
56656,3-5 years
56657,NA
56658,0-2 years
56659,0-2 years
56661,3-5 years
56663,NA
56665,9-11 years
56666,15-17 years
56667,21-23 years
56668,12-14 years
56670,18-20 years
56674,3-5 years
56675,3-5 years
56677,9-11 years
56678,0-2 years
56681,0-2 years
56682,9-11 years
56683,NA
56684,9-11 years
56685,0-2 years
56687,NA
56688,0-2 years
56691,NA
56692,3-5 years
56693,12-14 years
56694,3-5 years
56695,3-5 years
56696,9-11 years
56697,15-17 years
56698,0-2 years
56699,9-11 years
56701,9-11 years
56705,6-8 years
56706,NA
56708,0-2 years
56709,3-5 years
56710,0-2 years
56712,9-11 years
56713,0-2 years
56714,9-11 years
56715,0-2 years
56716,3-5 years
56718,9-11 years
56719,9-11 years
56721,6-8 years
56722,3-5 years
56723,9-11 years
56725,0-2 years
56726,3-5 years
56728,30 or more years
56729,0-2 years
56731,15-17 years
56732,3-5 years
56733,3-5 years
56734,NA
56735,0-2 years
56736,NA
56738,0-2 years
56739,6-8 years
56740,NA
56741,15-17 years
56743,3-5 years
56745,6-8 years
56748,15-17 years
56752,0-2 years
56753,NA
56754,3-5 years
56755,18-20 years
56757,18-20 years
56758,3-5 years
56760,0-2 years
56761,15-17 years
56762,21-23 years
56763,NA
56764,0-2 years
56767,3-5 years
56768,0-2 years
56770,15-17 years
56771,9-11 years
56772,0-2 years
56775,0-2 years
56777,0-2 years
56778,NA
56779,12-14 years
56780,3-5 years
56781,3-5 years
56783,6-8 years
56785,3-5 years
56787,12-14 years
56788,9-11 years
56789,9-11 years
56790,6-8 years
56793,0-2 years
56794,3-5 years
56796,3-5 years
56797,12-14 years
56798,6-8 years
56800,3-5 years
56802,6-8 years
56803,NA
56804,0-2 years
56805,6-8 years
56806,3-5 years
56807,0-2 years
56808,0-2 years
56809,12-14 years
56810,6-8 years
56811,0-2 years
56812,0-2 years
56813,6-8 years
56814,3-5 years
56816,3-5 years
56818,NA
56819,9-11 years
56820,9-11 years
56821,0-2 years
56822,3-5 years
56824,15-17 years
56825,NA
56826,3-5 years
56829,12-14 years
56830,0-2 years
56831,0-2 years
56832,0-2 years
56834,6-8 years
56837,3-5 years
56839,12-14 years
56840,6-8 years
56843,15-17 years
56844,21-23 years
56845,18-20 years
56846,3-5 years
56847,3-5 years
56848,3-5 years
56849,3-5 years
56851,0-2 years
56852,18-20 years
56853,3-5 years
56854,0-2 years
56855,9-11 years
56856,3-5 years
56857,3-5 years
56858,6-8 years
56859,NA
56860,0-2 years
56861,3-5 years
56863,18-20 years
56866,NA
